Accelerometer X,Accelerometer Y,Accelerometer Z
-0.027,1.008,0.027
-0.109,1.113,0.012
-0.172,1.145,-0.027
-0.352,1.094,-0.09
0.016,1.18,-0.156
0.582,1.484,-0.023
0.355,0.945,-0.145
-0.035,0.621,-0.164
0.051,0.863,-0.051
0.258,1.031,0.031
0.277,0.93,-0.023
0.172,0.84,-0.055
0.066,0.848,-0.047
-0.012,0.867,-0.023
-0.031,0.828,-0.008
0.066,0.898,0.066
0.086,0.914,0.074
0.094,0.91,0.078
0.078,0.949,0.082
0.16,1.012,-0.039
0.188,1.059,0.105
-0.082,1.012,0.137
-0.012,1.313,0.168
0.156,1.371,0.098
0.277,1.148,0.18
0.254,1.027,0.133
0.113,1.266,-0.055
0.031,1.395,-0.063
0.043,1.059,0.074
0.012,0.816,0.063
0.008,0.695,0.039
0.086,0.609,0.0
0.152,0.656,-0.008
0.113,0.707,-0.066
-0.004,0.574,-0.141
-0.148,0.719,-0.148
-0.094,0.914,-0.051
0.184,1.465,-0.098
-0.211,1.512,-0.258
-0.191,1.352,-0.352
0.453,1.574,-0.051
0.297,0.902,-0.117
0.031,0.727,-0.008
0.184,0.805,0.008
0.418,0.988,0.063
0.191,0.949,-0.004
0.027,0.813,0.004
-0.023,0.762,0.051
-0.004,0.727,0.027
0.105,0.781,0.063
0.152,0.879,0.109
0.063,0.922,0.094
-0.082,1.016,-0.066
-0.141,1.152,0.031
-0.473,1.105,0.188
-0.012,1.156,0.039
0.617,1.402,0.129
0.539,1.242,0.332
0.41,1.176,-0.027
0.195,1.449,-0.168
0.008,1.293,-0.004
0.02,0.945,-0.016
0.035,0.629,0.047
0.09,0.57,0.031
0.168,0.539,-0.008
0.129,0.664,-0.051
0.016,0.559,-0.039
-0.141,0.578,-0.117
-0.086,0.832,-0.078
0.25,1.348,-0.109
-0.113,1.887,-0.301
-0.359,0.875,-0.203
0.371,1.586,0.059
0.469,1.273,0.012
-0.098,0.965,0.004
-0.051,0.781,0.082
0.449,0.746,0.18
0.41,0.906,0.16
0.25,0.867,0.07
0.094,0.82,0.016
0.023,0.652,0.043
-0.035,0.781,0.09
0.129,0.836,0.148
0.098,0.949,0.094
0.016,1.098,-0.055
-0.012,1.184,-0.027
-0.074,1.156,0.02
0.453,1.262,0.227
0.273,1.457,0.348
0.082,1.102,0.371
0.191,1.078,0.051
0.156,1.02,0.109
0.133,0.969,0.176
0.223,0.922,0.16
0.148,0.664,0.117
0.18,0.617,0.012
0.273,0.703,-0.043
0.125,0.668,-0.121
0.031,0.758,-0.234
0.164,1.004,-0.184
0.309,1.309,-0.199
0.063,1.383,-0.402
-0.09,1.082,-0.238
0.332,1.336,0.043
0.012,0.984,0.035
0.008,1.023,0.219
0.223,0.82,0.305
0.41,0.605,0.27
0.402,1.094,0.281
0.148,0.992,0.145
0.07,0.836,0.125
0.121,0.801,0.125
0.176,0.797,0.129
0.105,0.816,0.121
0.086,0.836,0.09
0.098,0.922,0.039
0.105,1.031,-0.035
0.043,1.094,0.012
-0.035,1.086,-0.082
-0.008,1.164,0.027
0.363,1.348,0.266
0.277,1.285,0.484
0.094,1.133,0.313
0.352,1.18,0.105
0.348,1.199,0.203
0.18,0.98,0.145
0.16,0.766,0.145
0.082,0.563,0.008
0.102,0.582,-0.023
0.203,0.609,-0.07
0.152,0.613,-0.16
0.027,0.672,-0.328
-0.023,1.031,-0.293
0.23,1.488,-0.02
-0.094,1.594,-0.504
-0.258,1.039,-0.297
0.559,1.379,-0.023
0.434,1.047,0.102
0.137,0.93,0.098
0.16,0.848,0.082
0.41,0.801,0.105
0.332,1.09,0.082
0.121,0.867,0.063
0.043,0.82,0.039
-0.023,0.84,0.035
-0.043,0.793,0.043
-0.051,0.777,0.039
-0.063,0.852,0.059
-0.023,0.988,-0.016
0.141,0.98,-0.035
0.051,1.027,0.066
-0.219,1.102,0.09
-0.133,1.313,0.047
0.379,1.34,-0.082
0.363,1.09,0.148
0.273,1.188,0.004
0.297,1.461,-0.176
0.063,1.246,-0.105
-0.035,0.895,-0.07
0.027,0.695,0.008
0.141,0.527,0.008
0.109,0.461,-0.039
0.051,0.523,-0.082
-0.027,0.516,-0.109
-0.105,0.508,-0.191
-0.152,0.883,-0.195
0.203,1.285,0.121
