------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.4 Firmware v1.9.2 date format yyyy-MM-dd at 30 Hz  -----------
Serial Number: MOS2E28230210
Start Time 14:32:00
Start Date 2025-10-09
Epoch Period (hh:mm:ss) 00:00:00
Download Time 15:43:59
Download Date 2025-10-09
Current Memory Address: 0
Current Battery Voltage: 0     Mode = 12
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
0.156,0.969,0.043
0.16,0.973,0.039
0.168,0.969,0.039
0.176,0.977,0.043
0.172,0.977,0.027
0.172,0.969,0.035
0.176,0.973,0.039
0.164,0.98,0.027
0.164,0.973,0.027
0.164,0.969,0.027
0.16,0.965,0.027
0.16,0.977,0.027
0.164,0.977,0.027
0.164,0.969,0.035
0.164,0.965,0.031
0.168,0.977,0.035
0.172,0.977,0.031
0.164,0.977,0.027
0.168,0.977,0.023
0.164,0.969,0.027
0.164,0.969,0.027
0.164,0.977,0.023
0.176,0.977,0.02
0.18,0.977,0.023
0.176,0.973,0.027
0.172,0.969,0.023
0.172,0.977,0.023
0.16,0.98,0.031
0.172,0.969,0.023
0.176,0.969,0.031
0.176,0.965,0.031
0.168,0.977,0.027
0.176,0.977,0.027
0.172,0.973,0.023
0.18,0.973,0.035
0.176,0.969,0.031
0.176,0.969,0.027
0.172,0.977,0.035
0.18,0.973,0.027
0.18,0.973,0.031
0.176,0.973,0.035
0.168,0.977,0.031
0.176,0.973,0.031
0.176,0.973,0.031
0.172,0.973,0.039
0.172,0.973,0.039
0.176,0.977,0.039
0.172,0.969,0.039
0.164,0.977,0.035
0.164,0.969,0.047
0.176,0.969,0.035
0.172,0.969,0.039
0.172,0.98,0.039
0.164,0.973,0.039
0.172,0.973,0.043
0.168,0.977,0.039
0.168,0.969,0.039
0.164,0.977,0.043
0.168,0.98,0.043
0.168,0.969,0.043
0.168,0.969,0.051
0.168,0.973,0.043
0.168,0.977,0.047
0.168,0.969,0.043
0.168,0.969,0.047
0.168,0.973,0.047
0.172,0.973,0.047
0.172,0.977,0.047
0.172,0.969,0.043
0.176,0.969,0.055
0.184,0.969,0.047
0.176,0.973,0.051
0.172,0.969,0.055
0.164,0.973,0.047
0.16,0.977,0.051
0.16,0.977,0.063
