------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.4 Firmware v1.9.2 date format yyyy-MM-dd at 30 Hz  -----------
Serial Number: MOS2E28230210
Start Time 11:48:00
Start Date 2025-10-10
Epoch Period (hh:mm:ss) 00:00:00
Download Time 12:19:19
Download Date 2025-10-10
Current Memory Address: 0
Current Battery Voltage: 4.19     Mode = 12
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
0.02,0.965,-0.035
0.035,0.953,-0.098
0.059,1.012,-0.066
0.063,0.988,-0.078
0.055,1.004,-0.082
0.074,0.977,-0.082
0.078,0.98,-0.09
0.09,0.973,-0.094
0.09,0.91,-0.039
0.027,1.098,0.031
0,0.891,-0.09
0.063,0.949,-0.027
0.074,0.98,-0.047
0.082,0.965,-0.035
0.074,0.984,-0.047
0.059,0.98,-0.059
0.063,1.008,-0.051
0.082,0.988,-0.059
0.113,1,-0.059
0.129,0.984,-0.078
0.102,0.98,-0.09
0.102,0.816,0.219
0.063,0.855,-0.137
0.078,1.207,0.082
0.125,0.969,0.023
0.164,0.988,0.016
0.156,0.914,-0.043
0.094,0.965,-0.035
0.09,1.012,-0.035
0.07,0.977,-0.047
0.086,0.992,-0.02
0.141,1.004,-0.031
0.18,1.031,-0.027
0.172,0.992,-0.043
0.141,0.965,-0.043
0.113,0.977,-0.039
0.121,0.98,-0.027
0.121,1.004,-0.035
0.145,0.992,-0.023
0.172,0.945,-0.027
0.148,0.934,-0.035
0.113,1.004,-0.035
0.082,1.023,-0.043
0.066,0.969,-0.047
0.063,1,-0.031
0.094,0.996,-0.023
0.145,0.945,-0.027
0.113,0.988,-0.051
0.102,1.016,-0.059
0.145,0.98,-0.047
0.152,0.973,-0.039
0.148,0.984,-0.039
0.141,0.988,-0.02
0.121,0.98,-0.02
0.129,0.98,-0.023
0.137,1.02,-0.016
0.152,0.98,-0.027
0.145,0.957,-0.043
0.133,0.992,-0.023
0.117,0.996,-0.043
0.102,0.953,-0.047
0.109,0.98,-0.031
0.121,1.027,-0.031
0.121,0.973,-0.031
0.125,0.973,-0.023
0.141,0.984,-0.012
0.152,0.977,-0.027
0.156,0.969,-0.023
0.156,1.004,-0.027
0.16,0.98,-0.027
0.148,0.969,-0.023
0.137,0.969,-0.031
0.133,0.977,-0.027
0.125,1,-0.027
0.129,0.969,-0.031
0.129,0.984,-0.035
0.152,0.977,-0.031
0.148,0.988,-0.02
0.145,0.992,-0.027
0.137,0.98,-0.023
0.133,0.969,-0.023
0.125,0.984,-0.027
0.133,0.988,-0.023
0.125,0.973,-0.027
0.117,0.98,-0.027
0.121,0.988,-0.031
0.137,0.992,-0.031
0.152,0.992,-0.035
0.16,0.984,-0.035
0.141,0.984,-0.031
0.109,0.988,-0.031
0.109,0.973,-0.039
0.148,0.992,-0.02
0.141,0.969,-0.027
0.148,0.965,-0.043
0.164,0.996,-0.043
0.148,0.992,-0.043
0.125,0.984,-0.047
0.113,0.977,-0.027
0.094,0.988,-0.035
0.094,0.992,-0.027
0.117,0.977,-0.023
0.137,0.973,-0.02
0.137,0.977,-0.02
